Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Geordie Payne,NTH,0.57,0.1,0,0
Josh Weddle,HAW,4.95,0.1,1,0
Kynan Brown,MEL,0.53,0.1,0,0
Vigo Visentini,ESS,0.46,0.1,0,0
Odin Jones,FRE,0.23,0.1,0,0
Oliver Hannaford,GWS,2.12,0.1,0,0
Jack Ough,GWS,0.89,0.1,0,0
Cody Anderson,HAW,1.11,0.1,0,0
Josaia Delana,GWS,0.66,0.1,0,0
Kayle Gerreyn ,ESS,6.33,0.1,0,0
Ricky Mentha ,MEL,0.56,0.1,1,0
Luke Urquhart,NTH,0.53,0.1,0,0
Lachlan Gulbin ,GCS,0.07,0.1,1,0
Will McLachlan,BRL,0.53,0.1,1,10
Jobe Shanahan,WCE,0.52,0.1,0,0
Ty Gallop,BRL,0.45,0.1,0,0
Campbell Gray,RIC,0.58,0.1,1,0
Eamonn Armstrong,STK,0.59,0.1,0,0
Scott Pendlebury,COL,1.95,0,0,0
Patrick Dangerfield,GEE,0.75,0,0,0
Todd Goldstein,ESS,0.43,0,0,0
Callan Ward,GWS,0.83,0,0,0
Rhys Stanley,GEE,0.67,0,0,0
Taylor Walker,ADE,0.57,0,0,0
Luke Breust,HAW,0.59,0,0,0
Jake Melksham,MEL,0.08,0,0,0
Steele Sidebottom,COL,1.26,0,0,0
Michael Walters,FRE,0.28,0,0,0
Mitch Duncan,GEE,0.22,0,0,0
Liam Jones,WBD,0.22,0,0,0
Steven May,MEL,0.68,0,0,0
Taylor Duryea,WBD,0.1,0,0,0
Tom Campbell,MEL,2.36,0,0,0
Dane Rampe,SYD,2.1,0,0,0
Lachlan Keeffe,GWS,4.39,0,0,0
Cameron Guthrie,GEE,0.15,0,0,0
Dion Prestia,RIC,0.13,0,0,0
Jimmy Webster,STK,0.14,0,0,0
Jamie Cripps,WCE,0.28,0,0,0
David Swallow,GCS,0.45,0,0,0
Jack Darling,NTH,0.57,0,0,0
Jeremy Howe,COL,1.47,0,0,0
Jack Gunston,HAW,0.22,0,0,0
Tom McDonald,MEL,0.14,0,0,0
Ryan Lester,BRL,0.32,0,0,0
Nat Fyfe,FRE,0.48,0,0,0
Will Hoskin-Elliott,COL,0.56,0,0,0
Brodie Smith,ADE,0.09,0,0,0
Sam Day,BRL,0.17,0,0,0
Taylor Adams,SYD,2.1,0,0,0
Adam Treloar,WBD,0.91,0,0,0
Robbie Fox,SYD,0.14,0,0,0
Brody Mihocek,COL,0.76,0,0,0
Tom Mitchell,COL,0.09,0,0,0
Jack Viney,MEL,0.33,0,0,0
Stephen Coniglio,GWS,1.67,0,0,0
Jarrod Witts,GCS,1.25,0,0,0
Harry Cunningham,SYD,0.09,0,0,0
Elliot Yeo,WCE,0.17,0,0,0
Lincoln McCarthy,BRL,0.13,0,0,0
Sam Frost,HAW,1.33,0,0,0
Jamie Elliott,COL,2.09,0,0,0
Tom Lynch,RIC,1.85,0,0,0
Jack Crisp,COL,2.23,0,0,0
Jed Bews,GEE,0.28,0,0,0
Jake Stringer,GWS,0.38,0,0,0
Brodie Grundy,SYD,4.02,0,0,0
Sean Lemmens,GCS,0.16,0,0,0
Jason Johannisen,WBD,0.09,0,0,0
Ollie Wines,PTA,0.37,0,0,0
Aliir Aliir,PTA,2.36,0,0,0
Rory Atkins,PTA,0.07,0,0,0
Aidan Corr,NTH,0.95,0,0,0
Tim Membrey,COL,1.34,0,0,0
Jaeger O'Meara,FRE,1.01,0,0,0
Alex Sexton,GCS,0.18,0,0,0
Nick Vlastuin,RIC,0.8,0,0,0
Zac Williams,CAR,1.71,0,0,0
Jeremy McGovern,WCE,1.22,0,0,0
James Aish,FRE,0.18,0,0,0
Nathan Broad,RIC,0.42,0,0,0
Jake Lloyd,SYD,4.12,0,0,0
Sam Collins,GCS,0.38,0,0,0
Adam Saad,CAR,2.17,0,0,0
Bradley Hill,STK,0.9,0,0,0
Tim Kelly,WCE,0.56,0,0,0
Jack Martin,GEE,0.23,0,0,0
Willie Rioli,PTA,0.93,0,0,0
Jarman Impey,HAW,2.32,0,0,0
Darcy Gardiner,BRL,0.09,0,0,0
Jake Kolodjashnij,GEE,0.1,0,0,0
Blake Acres,CAR,0.57,0,0,0
Dom Sheed,WCE,0.06,0,0,0
Jesse Hogan,GWS,1.37,0,0,0
Orazio Fantasia,CAR,0.43,0,0,0
Jack Billings,MEL,0.24,0,0,0
Luke McDonald,NTH,0.23,0,0,0
Alex Neal-Bullen,ADE,1.42,0,0,0
Mark Blicavs,GEE,0.41,0,0,0
Mitch McGovern,CAR,0.62,0,0,0
Marcus Bontempelli,WBD,2.57,0,0,0
Nick Holman,GCS,0.48,0,0,0
Reilly O'Brien,ADE,1.11,0,0,0
James Harmes,WBD,0.46,0,0,0
Nic Newman,CAR,0.3,0,0,0
Darcy Fort,BRL,0.92,0,0,0
Liam Duggan,WCE,0.92,0,0,0
Jayden Laverde,ESS,0.09,0,0,0
Jake Lever,MEL,1.03,0,0,0
Darcy Moore,COL,4.76,0,0,0
Peter Wright,ESS,0.12,0,0,0
Marc Pittonet,CAR,0.18,0,0,0
Oleg Markov,COL,0.17,0,0,0
Alex Pearce,FRE,1.27,0,0,0
Jade Gresham,ESS,0.26,0,0,0
Callum Ah Chee,BRL,0.73,0,0,0
Shane McAdam,MEL,0.03,0,0,0
Lachie Weller,GCS,0.28,0,0,0
Isaac Heeney,SYD,8.82,0,0,0
Kyle Langford,ESS,0.46,0,0,0
Tom Barrass,HAW,4.84,0,0,0
Charlie Cameron,BRL,1.1,0,0,0
Rory Lobb,WBD,0.85,0,0,0
Aaron Francis,SYD,0.11,0,0,0
Billy Frampton,COL,0.82,0,0,0
Darcy Byrne-Jones,PTA,0.38,0,0,0
Zaine Cordy,STK,0.4,0,0,0
Zak Jones,STK,0.41,0,0,0
Brayden Maynard,COL,2.38,0,0,0
Anthony Scott,WBD,0.3,0,0,0
Sam Switkowski,FRE,0.1,0,0,0
Ryan Burton,PTA,0.22,0,0,0
Bailey Williams,WBD,0.09,0,0,0
Dan Butler,STK,0.15,0,0,0
Oscar McDonald,FRE,0.5,0,0,0
Harry Himmelberg,GWS,2.29,0,0,0
Dougal Howard,STK,0.05,0,0,0
Blake Hardwick,HAW,1.34,0,0,0
Brayden Fiorini,GCS,0.04,0,0,0
Darcy Tucker,NTH,0.26,0,0,0
Darcy Parish,ESS,0.13,0,0,0
Tom Cole,WCE,0.31,0,0,0
Jacob Weitering,CAR,2.36,0,0,0
