Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Jaspa Fletcher,BRL,0.678058,0,0,0
Ty Gallop,BRL,0.516668,0,0,0
Darcy Gardiner,BRL,0.0638949,0,0,0
Eric Hipwood,BRL,0.320026,0,0,0
Darragh Joyce,BRL,0.0892326,0,0,0
Ryan Lester,BRL,0.45112,0,0,0
Luke Lloyd,BRL,0.0528786,0,0,0
Kai Lohmann,BRL,1.37264,0,0,0
Sam Marshall,BRL,0.567343,0,0,0
Lincoln McCarthy,BRL,0.0660982,0,0,0
Oscar McInerney,BRL,1.25201,0,0,0
Conor McKenna,BRL,0.258334,0,0,0
Logan Morris,BRL,0.457179,0,0,0
Jack Payne,BRL,0.290832,0,0,0
Cam Rayner,BRL,1.05261,0,0,0
Bruce Reville,BRL,0.117324,0,0,0
Brandon Ryan,BRL,0.115121,0,0,0
Henry Smith,BRL,0.109613,0,0,0
Brandon Starcevich,BRL,0.553022,0,0,0
Reece Torrent,BRL,0.140459,0,0,0
Zane Zakostelsky,BRL,0.394937,0,0,0
Blake Acres,CAR,0.308458,0,0,0
Jaxon Binns,CAR,0.519422,0,0,0
Jordan Boyd,CAR,0.179016,0,0,0
Alex Cincotta,CAR,0.188931,0,0,0
Matthew Cottrell,CAR,0.971093,0,0,0
Lachlan Cowan,CAR,0.673651,0,0,0
Charlie Curnow,CAR,1.11926,0,0,0
Sam Docherty,CAR,0.51116,0,0,0
Matt Duffy,CAR,0.750215,0,0,0
Corey Durdin,CAR,0.0572851,0,0,0
Orazio Fantasia,CAR,0.302399,0,0,0
Lachie Fogarty,CAR,0.127239,0,0,0
Nick Haynes,CAR,0.762884,0,0,0
Elijah Hollands,CAR,0.117875,0,0,0
Oliver Hollands,CAR,1.47344,0,0,0
Brodie Kemp,CAR,0.283121,0,0,0
Harry Lemmey,CAR,0.0550819,0,0,0
Cooper Lord,CAR,0.912155,0,0,0
Mitch McGovern,CAR,0.230242,0,0,0
Harry McKay,CAR,1.06308,0,0,0
Rob Monahan,CAR,0.0236852,0,0,0
Nic Newman,CAR,0.0831736,0,0,0
Harry O'Farrell,CAR,0.213167,0,0,0
Hudson O'Keeffe,CAR,0.130544,0,0,0
Marc Pittonet,CAR,0.066649,0,0,0
Jagga Smith,CAR,1.86893,0,0,0
Jacob Weitering,CAR,1.7527,0,0,0
Zac Williams,CAR,1.00579,0,0,0
Billy Wilson,CAR,0.307357,0,0,0
Lewis Young,CAR,0.146518,0,0,0
Joel Cochran,COL,0.166898,0,0,0
Mason Cox,COL,1.04105,0,0,0
Jack Crisp,COL,0.502347,0,0,0
Josh Daicos,COL,1.90528,0,0,0
Jordan De Goey,COL,0.293035,0,0,0
Charlie Dean,COL,0.0798687,0,0,0
Harry DeMattia,COL,0.184524,0,0,0
Jamie Elliott,COL,0.823474,0,0,0
Billy Frampton,COL,0.261639,0,0,0
Harvey Harrison,COL,0.0308458,0,0,0
Bobby Hill,COL,2.32225,0,0,0
Will Hoskin-Elliott,COL,0.229691,0,0,0
Jeremy Howe,COL,0.391081,0,0,0
Tew Jiath,COL,0.427986,0,0,0
Ash Johnson,COL,0.264393,0,0,0
Finlay Macrae,COL,0.294688,0,0,0
Oleg Markov,COL,0.303501,0,0,0
Brayden Maynard,COL,0.887369,0,0,0
Beau McCreery,COL,0.490779,0,0,0
Reef McInnes,COL,0.481415,0,0,0
Daniel McStay,COL,2.44784,0,0,0
Tim Membrey,COL,1.12532,0,0,0
Brody Mihocek,COL,0.29579,0,0,0
Tom Mitchell,COL,0.149272,0,0,0
Darcy Moore,COL,1.06859,0,0,0
Wil Parker,COL,0.345363,0,0,0
Scott Pendlebury,COL,0.411461,0,0,0
Isaac Quaynor,COL,2.37678,0,0,0
Jakob Ryan,COL,0.147619,0,0,0
Lachie Schultz,COL,0.395488,0,0,0
Steele Sidebottom,COL,0.543107,0,0,0
Iliro Smit,COL,0.0947408,0,0,0
Oscar Steene,COL,0.195541,0,0,0
Lachlan Sullivan,COL,0.255029,0,0,0
Angus Clarke,ESS,0.219777,0,0,0
Nik Cox,ESS,0.240708,0,0,0
Alwyn Davey Jnr,ESS,0.206557,0,0,0
Sam Durham,ESS,1.2454,0,0,0
Xavier Duursma,ESS,0.301298,0,0,0
Kayle Gerreyn,ESS,0.176262,0,0,0
Todd Goldstein,ESS,0.276511,0,0,0
Jade Gresham,ESS,0.247868,0,0,0
Matt Guelfi,ESS,0.0517769,0,0,0
Lewis Hayes,ESS,0.117875,0,0,0
Zak Johnson,ESS,0.206557,0,0,0
Harrison Jones,ESS,0.391081,0,0,0
Kyle Langford,ESS,0.324983,0,0,0
Jayden Laverde,ESS,0.0892326,0,0,0
Luamon Lual,ESS,0.0771146,0,0,0
Andrew McGrath,ESS,0.621323,0,0,0
Ben McKay,ESS,0.428537,0,0,0
Jye Menzie,ESS,0.472051,0,0,0
Darcy Parish,ESS,0.158085,0,0,0
Archie Perkins,ESS,0.944103,0,0,0
Mason Redman,ESS,0.448917,0,0,0
Jordan Ridley,ESS,0.479212,0,0,0
Will Setterfield,ESS,0.211514,0,0,0
Dylan Shiel,ESS,0.459933,0,0,0
Rhys Unwin,ESS,0.138806,0,0,0
Vigo Visentini,ESS,0.0809703,0,0,0
Peter Wright,ESS,0.102452,0,0,0
James Aish,FRE,0.234649,0,0,0
Jye Amiss,FRE,0.622425,0,0,0
Bailey Banfield,FRE,0.09419,0,0,0
Will Brodie,FRE,0.388327,0,0,0
Jaren Carr,FRE,0.0688523,0,0,0
Heath Chapman,FRE,0.311212,0,0,0
Brennan Cox,FRE,0.176813,0,0,0
Sean Darcy,FRE,0.179016,0,0,0
Hugh Davies,FRE,0.365743,0,0,0
Jack Delean,FRE,0.0446163,0,0,0
Joshua Draper,FRE,0.766739,0,0,0
Michael Frederick,FRE,0.43735,0,0,0
Nat Fyfe,FRE,0.194439,0,0,0
Matthew Johnson,FRE,0.193888,0,0,0
Odin Jones,FRE,0.0754621,0,0,0
Oscar McDonald,FRE,0.277613,0,0,0
Ollie Murphy,FRE,0.156983,0,0,0
Quinton Narkle,FRE,0.620222,0,0,0
Charlie Nicholls,FRE,0.0600392,0,0,0
Jaeger O'Meara,FRE,0.683566,0,0,0
Alex Pearce,FRE,0.484169,0,0,0
Jeremy Sharp,FRE,0.492432,0,0,0
Cooper Simpson,FRE,0.249521,0,0,0
Sam Sturt,FRE,0.0457179,0,0,0
Sam Switkowski,FRE,0.209311,0,0,0
Josh Treacy,FRE,0.739198,0,0,0
Patrick Voss,FRE,0.0782162,0,0,0
Brandon Walker,FRE,0.131646,0,0,0
Michael Walters,FRE,0.185626,0,0,0
Karl Worner,FRE,0.692379,0,0,0
Hayden Young,FRE,0.192786,0,0,0
Ben Ainsworth,GCS,0.160288,0,0,0
Mac Andrew,GCS,0.684117,0,0,0
Charlie Ballard,GCS,0.11457,0,0,0
Cooper Bell,GCS,0.278163,0,0,0
Thomas Berry,GCS,0.0925375,0,0,0
Connor Budarick,GCS,0.0782162,0,0,0
Sam Clohesy,GCS,0.191685,0,0,0
Sam Collins,GCS,0.178465,0,0,0
Alex Davies,GCS,0.149823,0,0,0
Jy Farrar,GCS,0.0842752,0,0,0
Brayden Fiorini,GCS,0.0561835,0,0,0
Sam Flanders,GCS,2.49631,0,0,0
Caleb Graham,GCS,0.15478,0,0,0
Will Graham,GCS,0.135501,0,0,0
