player.playerId,Player
CD_I1017086,Tom Brown
CD_I1023275,Seth Campbell
CD_I1009226,Thomson Dow
CD_I1023056,Steely Green
CD_I993903,Jacob Hopper
CD_I1028491,Sam Lalor
CD_I293813,Tom Lynch
CD_I1008478,Rhyan Mansell
CD_I294592,Kamdyn McIntosh
CD_I1002403,Ben Miller
CD_I298174,Toby Nankervis
CD_I1006133,Jack Ross
CD_I992049,Jayden Short
CD_I1017114,Tyler Sonsie
CD_I998172,Tim Taranto
CD_I1028521,Luke Trainor
CD_I1031829,James Trezise
CD_I294674,Nick Vlastuin
CD_I296294,Blake Acres
CD_I1022452,Lucas Camporeale
CD_I1002239,Adam Cerra
CD_I1008154,Matthew Cottrell
CD_I1021353,Lachlan Cowan
CD_I990704,Patrick Cripps
CD_I1004912,Tom De Koning
CD_I295518,Sam Docherty
CD_I1017255,Francis Evans
CD_I1002228,Lachie Fogarty
CD_I295265,Nick Haynes
CD_I294036,George Hewett
CD_I1023495,Oliver Hollands
CD_I1009241,Brodie Kemp
CD_I1032108,Cooper Lord
CD_I297255,Mitch McGovern
CD_I1000953,Harry McKay
CD_I1017700,Jesse Motlop
CD_I295461,Adam Saad
CD_I1001028,Jack Silvagni
CD_I1006094,Sam Walsh
