player_name,breakeven
Nasiah Wanganeen-Milera,97
Josh Rachele,97
Ben Miller,96
Harley Reid,96
Jordan Boyd,96
Darcy Parish,96
Jack Darling,95
Mason Wood,95
Jack Henry,95
Brent Daniels,95
Charlie Ballard,94
Matthew Roberts,93
Max Michalanney,93
George Wardlaw,92
Ned Moyle,92
Will Setterfield,92
Hayden McLean,92
Adam Cerra,92
Will Hoskin-Elliott,92
Aaron Naughton,91
Zac Fisher,91
Dylan Shiel,91
Andrew Brayshaw,91
Jacob Wehr,91
Jayden Hunt,91
Jack Petruccelle,90
Xavier Duursma,90
Xavier O'Halloran,90
Massimo D'Ambrosio,89
Liam Baker,89
Tim Taranto,89
Jackson Macrae,88
Alex Pearce,88
Bodhi Uwland,88
Zachary Williams,87
Matt Owies,87
Luke Breust,86
Zach Guthrie,85
Dion Prestia,85
Jason Johannisen,85
Darcy Wilson,85
Mitchell Duncan,85
Shaun Mannagh,85
Jai Newcombe,85
Will Phillips,84
Tom Atkins,84
Callum Ah Chee,84
Shannon Neale,84
Darcy Moore,84
Sam Taylor,84
Blake Acres,84
Jake Melksham,84
Ben Ainsworth,83
Harrison Jones,83
Aliir Aliir,83
Jake Rogers,83
Darcy Fogarty,82
Joel Jeffrey,82
Francis Evans,81
Jayden Short,81
Isaac Quaynor,81
Elijah Hollands,81
Zak Jones,81
Dane Rampe,81
Nicholas Holman,81
Mason Cox,81
Lewis Young,80
Harry Perryman,80
Jake Lloyd,80
Harrison Petty,80
Bobby Hill,80
Rhylee West,79
Tanner Bruhn,79
Noah Long,79
Brayden Fiorini,79
Tom Mitchell,79
Brayden Maynard,79
Jack Billings,79
Noah Answerth,79
Lawson Humphries,78
Jeremy Howe,78
Sam De Koning,78
Brody Mihocek,78
Mitchell Hinge,78
Archie Perkins,77
Kieren Briggs,77
Matt Guelfi,77
James Jordon,77
Judd McVee,76
Jackson Mead,76
Peter Wright,76
Lachlan Bramble,76
Jack Graham,76
George Hewett,76
Lachlan Weller,76
Bailey Williams,76
Jake Kolodjashnij,75
Jamie Cripps,75
Charlie Cameron,75
Ned Long,75
Cody Weightman,75
Todd Goldstein,75
Sam Day,75
Ollie Dempsey,75
Brodie Kemp,75
Jacob Van Rooyen,74
Cameron Rayner,74
Harrison Himmelberg,74
Nathan Fyfe,74
Riley Garcia,74
Harvey Gallagher,74
Jamie Elliott,73
Kysaiah Pickett,73
Jesse Hogan,73
Matt Johnson,73
Zaine Cordy,73
Brennan Cox,72
Harry Edwards,72
Billy Dowling,72
Adam Saad,72
Rhyan Mansell,72
Blake Howes,72
Jayden Laverde,72
Robert Hansen,71
Callum Mills,71
Ben King,71
Jamarra Ugle-Hagan,71
Jack Bowes,71
Bailey Smith,71
Jack Higgins,71
Nick Haynes,70
Patrick Dangerfield,70
Joshua Weddle,70
Nick Larkey,69
Daniel McStay,69
Brandon Zerk-Thatcher,69
Jacob Bauer,69
John Noble,69
Oscar Allen,69
Toby Conway,69
Ed Langdon,69
Brodie Smith,69
Esava Ratugolea,69
Rory Lobb,69
Lincoln McCarthy,68
Jackson Archer,68
Jake Lever,68
Thomson Dow,68
Logan McDonald,68
Sam Berry,68
Tom McDonald,67
Lachlan Murphy,67
Liam Henry,67
Alex Davies,67
Noah Balta,67
Tom McCartin,67
Reef McInnes,66
Mark O'Connor,66
Lachlan Fogarty,66
Cooper Lord,66
Matthew Kennedy,66
Jake Soligo,66
Josh Treacy,65
Jaspa Fletcher,65
Shai Bolton,65
Josh Draper,65
Lachie Sullivan,65
Connor Idun,65
Paddy Dow,65
Oliver Henry,65
Bailey J. Williams,64
Dougal Howard,64
Chayce Jones,64
Leek Aleer,64
Harry Morrison,63
Oliver Hollands,63
Jaeger O'Meara,63
Mattaes Phillipou,63
Bradley Close,62
Jye Amiss,62
Lachlan Ash,62
Gryan Miers,62
Aidan Corr,62
Jason Horne-Francis,62
Koltyn Tholstrup,62
Ben Long,61
Reuben Ginbey,61
Toby Greene,61
Hugh McCluggage,60
Zac Bailey,60
Max King,60
Ryan Byrnes,60
Elliott Himmelberg,59
Tyler Sonsie,59
Wayne Milera,59
Todd Marshall,59
Brandon Starcevich,59
Daniel Rioli,59
Charlie Dean,59
Jack Ross,59
Maurice Rioli,59
Sam Banks,58
Mykelti Lefau,58
Harry Cunningham,58
Beau McCreery,58
Will Graham,58
Jordon Butts,58
Heath Chapman,58
Billy Frampton,58
Liam Stocker,57
Hugo Ralphsmith,57
Sam Sturt,57
Eddie Ford,57
Harvey Thomas,56
Braeden Campbell,56
Caleb Poulter,56
Cameron Guthrie,56
Arthur Jones,56
Kallan Dawson,56
Joe Richards,56
Archie Roberts,56
Jimmy Webster,56
Taylor Walker,56
Thomas Berry,55
Tom Brown,55
Tyler Brockman,55
Lachlan McNeil,55
Calsher Dear,55
Angus Sheldrick,54
Jacob Koschitzke,54
Luke Jackson,54
Nikolas Cox,54
Keidean Coleman,54
Seth Campbell,54
Mitch Georgiades,54
Brayden Cook,53
Alex Cincotta,53
Robbie Fox,53
Luke McDonald,53
Andy Moniz-Wakefield,52
Nate Caddy,52
Kamdyn McIntosh,51
Callum Jamieson,51
Tom Doedee,51
Jake Bowey,51
Oleg Markov,51
Jake Riccardi,51
Miles Bergman,51
Charlie Spargo,50
Scott Pendlebury,50
Shadeau Brain,50
James O'Donnell,50
Marty Hore,50
Dante Visentini,50
Mitchito Owens,50
Bruce Reville,50
Harvey Harrison,50
Blake Hardwick,50
Will Hayward,50
Steele Sidebottom,49
Darragh Joyce,49
Ashton Moir,49
Brynn Teakle,49
Kane McAuliffe,49
Nathan Broad,49
Ned Reeves,49
Ben Hobbs,48
Darcy Gardiner,48
Dominic Sheed,48
Ryley Sanders,48
Ryan Angwin,48
Campbell Chesser,48
Aaron Cadman,47
Samson Ryan,47
Toby McMullin,47
Finlay Macrae,47
Chris Burgess,47
Michael Walters,47
Rory Atkins,47
Tylar Young,47
Jacob Hopper,47
Jack Williams,47
Zac Taylor,47
David Swallow,47
Arie Schoenmaker,46
Luke Cleary,46
Dylan Stephens,46
Jesse Motlop,45
Kieran Strachan,45
Hugh Bond,45
Lloyd Johnston,45
Jack Carroll,45
Jack Payne,45
Logan Morris,45
Rhys Stanley,45
Isaac Cumming,44
Nicholas Coffield,44
Ethan Read,44
Riley Hardeman,43
Jye Menzie,43
Aaron Francis,43
Daniel Butler,43
Jacob Blight,43
Orazio Fantasia,43
Finn Maginness,42
Oskar Baker,42
Mark Blicavs,42
Corey Durdin,42
Jack Silvagni,42
Peter Ladhams,42
Malcolm Rosas,42
Paul Curtis,42
Riley Thilthorpe,41
Darcy Tucker,41
Josh Sinn,41
Sean Lemmens,41
Buku Khamis,41
Jeremy Finlayson,41
Harry Schoenberg,40
Cameron Mackenzie,40
Jed McEntee,40
Harry Armstrong,40
Seamus Mitchell,40
Jagga Smith,39
Jack Hutchinson,39
James Harmes,39
Zane Duursma,39
Tom Lynch,39
Nick Bryan,39
Toby Bedford,38
Sam Wicks,38
Lewis Melican,38
Finn O'Sullivan,38
Will Brodie,38
Bayley Fritsch,37
Dylan Williams,37
Jai Serong,37
Tyrell Dewar,36
Corey Warner,36
Mitchell Lewis,36
Nathan O'Driscoll,36
Wil Parker,36
Will Ashcroft,36
Sam Darcy,36
Callum Brown,36
Joe Berry,35
Harry Sharp,35
Josh Smillie,35
Jade Gresham,34
Henry Smith,34
Jaxon Binns,34
Saad El-Hawli,34
Anthony Caminiti,34
Jed Bews,34
Angus McLennan,34
Liam Ryan,33
Alix Tauru,33
Jai Culley,33
Jhye Clark,33
Leo Lombard,33
Karl Worner,33
Shane McAdam,32
Joseph Fonti,32
Tom Cochrane,32
Joel Amartey,32
Changkuoth Jiath,32
Nick Murray,31
Taj Hotton,31
Matthew Jefferson,31
Mitchell Knevitt,31
Bailey Laurie,31
Josh Gibcus,31
Harvey Johnston,30
Jack Martin,30
Luke Pedlar,30
Josh Goater,30
Luke Parker,30
Ryan Gardner,29
Michael Frederick,29
Quinton Narkle,29
Will Dawson,29
Xavier Lindsay,29
Matt Cottrell,29
Jonty Faull,29
Alwyn Davey,29
Tom Campbell,29
Jack Henderson,29
Miller Bergman,28
Jack Gunston,28
Bailey Banfield,28
Anthony Scott,28
Griffin Logue,27
Daniel Turner,27
Bradley Hill,27
Bo Allan,27
Liam O'Connell,27
Ash Johnson,27
Max Ramsden,26
Caleb Daniel,26
Levi Ashcroft,26
Callum Coleman-Jones,26
Sam Butler,25
Nick Watson,25
Kaleb Smith,25
Hamish Davis,25
Oliver Hannaford,25
Lachlan Smith,24
Harry Rowston,24
William McCabe,24
Bodie Ryan,24
Oliver Sestan,24
Harrison Oliver,24
Max Heath,24
Hugh Jackson,24
Finnbar Maley,24
Will Edwards,24
Caleb Graham,24
Cooper Harvey,24
Nick Madden,24
Indhi Kirk,24
Zane Zakostelsky,24
Jy Farrar,24
Oscar Steene,24
Lewis Hayes,24
Campbell Gray,24
Harry Demattia,24
Oliver Hayes-Brown,24
Mitchell Edwards,24
Coen Livingstone,24
Ollie Murphy,24
Harry Lemmey,24
Odin Jones,24
Caleb Mitchell,24
Vigo Visentini,24
Mate Colina,24
Will Green,24
Judson Clarke,24
Iliro Smit,24
Darcy Craven,24
Hugh Davies,24
Tew Jiath,24
Jakob Ryan,24
Luke Lloyd,24
Reece Torrent,24
Max Knobel,24
Deven Robertson,24
Wade Derksen,24
Cooper Simpson,24
Jordan Croft,24
Oscar McDonald,24
Kynan Brown,24
Phoenix Gothard,24
James Tunstill,24
Toby Murray,24
Patrick Snell,24
Jack Delean,24
James Blanck,24
Luamon Lual,24
Hudson O'Keeffe,24
Will Lorenz,24
Geordie Payne,24
Rob Monahan,24
Rhett Bazzo,24
Cooper Hynes,24
Karl Gallagher,24
Josh Fahey,24
Brayden George,24
Xavier Walsh,24
Tom Fullarton,24
Luker Kentfield,24
Tom Anastasopoulos,24
Billy Wilson,24
Jasper Scaife,24
Loch Rawlinson,24
Brandon Ryan,24
Nathan Wardius,24
Oscar Ryan,24
Taylor Goad,24
Lachlan Charleson,24
Henry Hustwaite,24
Charlie Edwards,24
Jack Buller,24
Bailey Macdonald,24
Will Verrall,24
Conor Stone,24
Lachlan McAndrew,24
George Stevens,24
Oliver Wiltshire,24
Harry Barnett,24
Jed Adams,24
Jedd Busslinger,24
Luke Beecken,24
Jasper Alger,23
Logan Smith,23
Noah Mraz,23
Joel Cochran,23
Patrick Said,23
Jack Ough,23
Lucca Grego,23
Riak Andrew,23
Alex Dodson,23
Rhys Unwin,23
Kayle Gerreyn,23
Will Hayes,23
Cody Angove,23
James Trezise,23
Thomas Sims,23
Angus Hastie,23
Lachie Jaques,23
Jack Whitlock,23
Jesse Dattoli,23
Luke Urquhart,23
Jacob Molier,23
Keighton Matofai-Forbes,23
River Stevens,23
Ned Bowman,23
Zak Johnson,23
Cooper Bell,23
Charlie West,23
Lennox Hoffman,23
Harry O'Farrell,23
Jay Polkinghorne,23
Hugh Boxshall,23
James Barrat,23
Jaren Carr,23
Jobe Shanahan,23
Ben Camporeale,23
Patrick Voss,23
Tyler Welsh,23
Charlie Nicholls,23
Luke Kennedy,23
Sam Marshall,23
Cody Anderson,23
Angus Clarke,23
Ty Gallop,23
Isaac Keeler,22
Matthew Flynn,21
Matt Hill,20
Zak Evans,20
Patrick Retschko,20
Joe Pike,20
Taj Woewodin,20
Jayden Nguyen,20
Archer Day-Wicks,20
Aiden Riddle,20
Josaia Delana,20
Asher Eastham,20
Josh Dolan,20
Liam Reidy,20
Blake Leidler,20
Sam Powell-Pepper,20
Jacob Moss,20
Josh Lai,20
Matt Carroll,20
Xavier Ivisic,20
Ben Jepson,20
Lachlan Gulbin,20
Liam Fawcett,20
Malakai Champion,20
Ricky Mentha,20
Matt Duffy,20
Cillian Burke,20
Eamonn Armstrong,20
Benny Barrett,20
Harry Charleson,20
Jaime Uhr-Henry,20
Matt Whitlock,18
Bailey Humphrey,18
Cooper Sharman,14
Lachlan Schultz,13
Isaac Kako,12
Will White,12
Max Gruzewski,10
Edward Allan,9
Elijah Hewett,9
Sid Draper,9
Darcy Jones,9
Hugo Garcia,9
Steely Green,7
James Peatling,6
Jacob Konstanty,6
Josh Ward,6
Lachlan Jones,5
Tom Hanily,4
Will McLachlan,2
Tom Edwards,1
Ollie Lord,0
Joel Hamling,0
Ted Clohesy,-2
Daniel Curtin,-2
Tom Gross,-4
Jed Walter,-4
Lachlan Keeffe,-4
James Leake,-5
Toby Pink,-5
Oisin Mullin,-6
Harvey Langford,-8
Sam Lalor,-8
Jaxon Prior,-11
Elijah Tsatas,-13
Caiden Cleary,-15
Connor O'Sullivan,-19
Ryan Maric,-19
Max Hall,-19
Harry Boyd,-22
Aidan Johnson,-23
Murphy Reid,-24
Zach Reid,-26
Darcy Fort,-29
Ben Paton,-30
Sam Davidson,-32
Tobie Travaglia,-32
Lance Collard,-37
Christian Moraes,-37
Sandy Brock,-39
Archer Reid,-40
Lucas Camporeale,-40
Neil Erasmus,-49
Luke Trainor,-51
Isaiah Dudley,-69
Clay Hall,-78
Riley Bice,-98
