player_id,Player
1021103,Mitch Knevitt
1012386,Samson Ryan
1005326,Jackson Mead
1002947,Paul Curtis
1028566,Cody Anderson
290307,Dane Rampe
1017118,Josh Goater
1017087,Harvey Gallagher
1024279,Arie Schoenmaker
298421,Jade Gresham
1018018,Cooper Sharman
1013532,Tom Fullarton
1024188,Clay Hall
297456,Nick Holman
998180,Bailey Banfield
1000998,Lachlan Murphy
1001438,Bayley Fritsch
991930,Darcy Byrne-Jones
291849,Brody Mihocek
281007,Michael Walters
997501,Ryan Gardner
1002795,Jordan Boyd
1017077,Angus McLennan
1028539,Jack Ough
1029030,Josaia Delana
1032119,James Leake
1008312,Liam Stocker
999824,Quinton Narkle
1028531,Xavier Lindsay
1028546,Harvey Langford 
1020650,Darcy Jones
1028485,Oliver Hannaford
1032619,Cody Angove 
1021353,Lachlan Cowan
290314,Lachlan Keeffe
1013233,Jack Carroll
1020670,Elijah Hewett
297504,Daniel McStay
1008239,Joe Richards
996232,Matt Guelfi
1029456,Cooper Hynes
1032112,Luke Kennedy
1029148,Hugh Boxshall
1022452,Lucas Camporeale
1027282,Ben Camporeale
1028515,Jagga Smith 
1028554,Isaac Kako
1029265,Archer Day-Wicks
1028495,Finn O'Sullivan 
1029281,Luke Urquhart
1015777,Ryan Angwin
1012828,Finlay Macrae
999321,Michael Frederick
997033,Brennan Cox
1027790,Hugo Garcia
1007099,Harry Sharp
1015781,Charlie Comben
1017122,Blake Howes
1015919,Saad El-Hawli
1028519,Zak Johnson
1032023,Rhys Unwin
1024187,Reece Torrent
1028520,Sam Marshall
1028560,Levi Ashcroft
1004757,Beau McCreery
1023640,Koltyn Tholstrup
1000937,Jack Henry
993917,Ben Long
999326,Brad Close
1023681,George Stevens
1028489,Xavier Ivisic
1032081,Patrick Retschko
296190,Jack Martin
1020855,Max Hall
1028514,Patrick Said
1028513,Murphy Reid 
1012826,Bailey Laurie
1018987,Jayden Nguyen
1011755,Harrison Jones
1027726,Geordie Payne
1031989,River Stevens
298281,Jake Lever
1017095,Miller Bergman
1008478,Rhyan Mansell
1008543,Harry Schoenberg
1017751,Josh Fahey
1009708,Jack Buckley
1002245,Noah Balta
1028491,Sam Lalor 
1028572,Josh Smillie 
1022607,Sid Draper 
1028496,Harry Charleson
1028671,Charlie Edwards
1022915,Edward Allan
1006135,Xavier O'Halloran
992374,Dan Butler
1012218,Luke Pedlar
1015330,Hugh Jackson
1022371,Tom Cochrane
1022601,Benny Barrett 
1028563,Christian Moraes
1003203,Hayden McLean
296225,Willie Rioli
298111,Jeremy Finlayson
1028538,Tobie Travaglia
1029301,Leonardo Lombard
1038801,Zak Evans
1021015,Karl Worner
1017720,Jacob van Rooyen
1005986,Malcolm Rosas
1002228,Lachie Fogarty
1027935,Josh Weddle
994077,Mabior Chol
1009385,Deven Robertson
1027058,Indhi Kirk
1027687,Tom Hanily
1029589,Jesse Dattoli
1032922,William Hayes
990740,Rory Lobb
997316,Lewis Young
296291,Jake Kolodjashnij
1032106,Taj Hotton
1017114,Tyler Sonsie
1017396,Mac Andrew
1029973,Oliver Sestan
1006550,Jack Petruccelle
1016433,Shannon Neale
1018992,Lucca Grego
1028561,Tom Gross
998480,Lachlan Sullivan
993480,Dougal Howard
1009015,Lachlan McNeil
1013611,Sam Sturt
1032042,Phoenix Gothard
1034066,Nathan Wardius
1008091,Joel Amartey
1013165,Andy Moniz-Wakefield
1023542,Ted Clohesy
1020968,Jackson Archer
1032100,Calsher Dear
1027899,Nate Caddy
1028019,Logan Morris
1002282,Charlie Spargo
1017086,Tom Brown
1032624,Hamish Davis
298358,Oleg Markov
280824,Jake Melksham
1018016,Seamus Mitchell
1002143,Ben McKay
298470,Shane McAdam
1017078,Josh Sinn
1028562,Harrison Oliver
1034235,Josh Dolan
1036123,Sam Davidson
1027284,Angus Clarke 
1027706,Luamon Lual
1028449,Bo Allan 
1035129,Rob Monahan
1028105,Shadeau Brain
1005247,Sam Taylor
1018122,Jasper Scaife
1008893,Harrison Petty
1022447,Tyler Welsh
1035372,Karl Gallagher
1024193,Darcy Craven
1029405,Will McLachlan
1034411,Ty Gallop
1019975,Jack Delean
1023047,Jaren Carr
1027155,Charlie Nicholls
1008882,Charlie Ballard
291848,Robbie Fox
1023530,Jacob Konstanty
1029416,Ryan Maric
1027966,Vigo Visentini
1020881,Oliver Wiltshire
1027428,Jay Polkinghorne
1029261,Bailey Macdonald
1032141,Keighton Matofai-Forbes
1013201,Jye Menzie
294013,Sean Lemmens
992048,Anthony Scott
997933,Griffin Logue
1014038,Callum M. Brown
291753,Sam Day
1027949,Kynan Brown
1029262,Will Lorenz
1022473,Bodie Ryan
1028643,Noah Mraz
1039500,Matt Hill
1023544,Brayden George
1027985,Luke Lloyd
1008805,Luke Beecken
1027678,Billy Wilson
1028526,Harry O'Farrell
1035198,Liam O'Connell
1039720,Matt Duffy
1013996,Jordan Croft
1028541,Asher Eastham
1029304,Lachlan Gulbin 
1027406,Ned Bowman
1032629,Joe Fonti
1005000,Laitham Vandermeer
1032114,Lennox Hoffman
1039509,Cillian Burke
296269,Darcy Gardiner
1020959,Daniel Turner
1020950,Toby Murray
1024057,Caiden Cleary
1028493,Lachie Jaques
1002347,Jack Payne
1020072,Harry Lemmey
1027893,Oscar Ryan
1024173,Aidan Johnson
1011583,Lachie Jones
1015929,Luke Cleary
1031792,Finnbar Maley
1028371,Odin Jones
1014013,Lachlan Charleson
1027870,Tom Anastasopoulos
1028529,Joe Berry
1032053,Jack Whitlock
1028498,Jonty Faull
1028525,Harry Armstrong 
1028537,Jasper Alger 
1024023,Daniel Curtin
298288,Darcy Moore
1017959,Lance Collard
999715,Jy Farrar
1020097,Ashton Moir
1009551,Maurice Rioli
293883,Jed Bews
295446,Sam Collins
1013973,Matthew Owies
1023486,Matthew Jefferson
1024337,Luker Kentfield
1004034,Brandon Zerk-Thatcher
1008224,Riley Bice
1027659,Riak Andrew
1028564,Blake Leidler
1017057,Campbell Chesser
1002403,Ben Miller
1021122,Harry Rowston
1023275,Seth Campbell
1023784,Anthony Caminiti
1019038,Aaron Cadman
1028521,Luke Trainor
1006030,Jacob Koschitzke
1027382,Charlie West
1012873,Wil Parker
1038914,Jacob Moss
1015332,Harvey Harrison
1027673,Harry DeMattia
1029000,Joel Cochran
1029136,Malakai Champion
1031913,Jobe Shanahan
296334,Orazio Fantasia
1023625,Riley Hardeman
1018996,Thomas Sims 
1022383,Liam Fawcett
1036103,Campbell Gray
1023056,Steely Green
1023500,Bailey Humphrey
1027925,Harvey Thomas
294508,Aidan Corr
1009229,Sam De Koning
1013511,Tyler Brockman
1008198,Tom McCartin
1027693,Archer Reid
1008747,Mykelti Lefau
1018425,Taj Woewodin
1017700,Jesse Motlop
1021152,Jacob Bauer
1023142,Tyrell Dewar
1020979,Cooper Harvey
1006232,Sam Wicks
1006100,Thomas Berry
1024096,Caleb Mitchell
1020104,Jakob Ryan
1032966,James O'Donnell
1022999,Kaleb Smith
1008230,Nick Murray
1010708,Sam Butler
1018335,Brayden Cook
1017754,Patrick Voss
1011437,Harry Edwards
1005199,Elliott Himmelberg
1009197,Charlie Dean
1013278,Reef McInnes
1022410,William McCabe
1027971,Toby McMullin
1013229,Jacob Blight
1036098,Jack Hutchinson
1024982,Oisin Mullin
1024666,Lloyd Johnston
1021108,James Tunstill
1027965,Max Ramsden
295222,Joel Hamling
1023496,Noah Long
281078,Liam Jones
1008510,Corey Durdin
1020371,Jack Williams
990816,Aaron Francis
1027872,Angus Hastie
1015323,Isaac Keeler
1028545,James Barrat
1030433,Alixzander Tauru
1023487,Lewis Hayes
1018424,Corey Warner
1016140,Wade Derksen
1023144,Robert Hansen Jr
1017091,Jai Serong
1016189,Henry Smith
1023494,Zane Duursma
1023017,Jedd Busslinger
1017043,Judson Clarke
1000068,Chris Burgess
1004819,Jed McEntee
1016268,Alex Cincotta
992472,Oscar McDonald
998782,Buku Khamis
1000061,Callum Coleman-Jones
1028547,Matt Whitlock
1018433,Tylar Young
1017933,Alwyn Davey Jnr
1012127,Brandon Ryan
1032650,Zane Zakostelsky
1027990,Ollie Murphy
1009029,James Borlase
1029065,Cooper Bell
1008691,Leek Aleer
1018123,Jake Rogers
1029158,Xavier Walsh
293738,Sam Frost
1020668,Joshua Draper
1017757,William Edwards
1024685,Patrick Snell
1004995,Jordon Butts
1023174,Jed Adams
1029211,Ricky Mentha 
298409,Alex Pearce
1012881,Ollie Lord
1015862,Conor Stone
1003520,Darragh Joyce
1006087,Caleb Graham
1020586,Arthur Jones
1023534,Hugh Bond
1012144,Kallan Dawson
1002220,Esava Ratugolea
997974,Ash Johnson
1027921,Max Gruzewski
1027656,Cooper Simpson
1032017,Tew Jiath
1007591,Brynn Teakle
991939,Zaine Cordy
1002138,Toby Pink
1023736,Jed Walter
996743,Lewis Melican
1027969,Harvey Johnston
1027877,Connor O'Sullivan
1017718,Rhett Bazzo
1028551,Wil Dawson
1009392,Jack Buller
1017059,Josh Gibcus
1012817,Zach Reid
1020032,Loch Rawlinson
1027033,Ethan Read
1011243,Callum Jamieson
991773,Billy Frampton
1011839,James Blanck
1022927,Hugh Davies
1000958,Harry Boyd
1008183,Jack Henderson
1011558,Isaiah Dudley
1011950,Ben Jepson
1013315,Sandy Brock
1017255,Francis Evans
1018323,Thomas Edwards
1020802,Jai Culley
1021200,Lachlan McAndrew
1027713,Will White
1027964,Matthew Carroll
1039730,Eamonn Armstrong
1040300,Josh Lai
