playerId,Season,roundNumber,matchId,name,TOG,AF,CBA,KI,teamName,CBA_PERC,KI_PERC,SC,TeamCBA,TeamKI,CBA_PERC_chg,KI_PERC_chg
CD_I1007124,2025,2,CD_M20250140201,Conor Nash,79,75,18,0,Hawthorn,78,0,68,23,12,14,0
CD_I1008089,2025,2,CD_M20250140202,Isaac Quaynor,83,42,0,0,Collingwood,0,0,59,24,10,0,-11
CD_I1008091,2025,2,CD_M20250140208,Joel Amartey,73,56,0,0,Sydney Swans,0,0,66,22,11,-14,0
CD_I1008154,2025,2,CD_M20250140201,Matthew Cottrell,91,78,0,0,Carlton,0,0,88,23,8,0,0
CD_I1008183,2025,2,CD_M20250140207,Jack Henderson,78,68,0,0,Melbourne,0,0,72,31,11,0,0
CD_I1008198,2025,2,CD_M20250140208,Tom McCartin,94,54,0,0,Sydney Swans,0,0,88,22,11,0,0
CD_I1008224,2025,2,CD_M20250140208,Riley Bice,80,64,0,2,Sydney Swans,0,18,96,22,11,0,-3
CD_I1008230,2025,2,CD_M20250140203,Nick Murray,88,56,0,0,Adelaide Crows,0,0,66,43,10,0,0
CD_I1008239,2025,2,CD_M20250140204,Joe Richards,81,85,0,0,Port Adelaide,0,0,86,34,14,0,0
CD_I1008280,2025,2,CD_M20250140202,Ed Richards,83,92,22,0,Footscray,92,0,105,24,16,10,0
CD_I1008384,2025,2,CD_M20250140203,Riley Thilthorpe,82,91,7,0,Adelaide Crows,16,0,97,43,10,7,0
CD_I1008478,2025,2,CD_M20250140204,Rhyan Mansell,67,86,0,0,Richmond,0,0,87,34,14,0,0
CD_I1008550,2025,2,CD_M20250140201,Will Day,76,75,17,0,Hawthorn,74,0,76,23,12,1,0
CD_I1008893,2025,2,CD_M20250140207,Harrison Petty,100,30,0,0,Melbourne,0,0,48,31,11,0,0
CD_I1009015,2025,2,CD_M20250140202,Lachlan McNeil,83,34,0,0,Footscray,0,0,26,24,16,0,0
CD_I1009191,2025,2,CD_M20250140204,Miles Bergman,88,86,0,1,Port Adelaide,0,7,77,34,14,-16,7
CD_I1009226,2025,2,CD_M20250140204,Thomson Dow,79,59,17,0,Richmond,50,0,70,34,14,12,0
CD_I1009229,2025,2,CD_M20250140205,Sam De Koning,70,72,22,0,Geelong Cats,69,0,74,32,7,-13,0
CD_I1009241,2025,2,CD_M20250140201,Brodie Kemp,92,26,0,0,Carlton,0,0,22,23,8,0,0
CD_I1009378,2025,2,CD_M20250140207,Trent Rivers,79,59,0,1,Melbourne,0,9,49,31,11,-31,-9
CD_I1009380,2025,2,CD_M20250140208,Jeremy Sharp,82,58,0,0,Fremantle,0,0,72,22,13,0,0
CD_I1009386,2025,2,CD_M20250140203,Jaxon Prior,83,61,0,2,Essendon,0,18,57,43,11,0,18
CD_I1009399,2025,2,CD_M20250140208,Luke Jackson,85,104,20,0,Fremantle,91,0,97,22,13,26,0
CD_I1009410,2025,2,CD_M20250140208,Brandon Walker,34,12,0,0,Fremantle,0,0,19,22,13,0,0
CD_I1009420,2025,2,CD_M20250140208,Caleb Serong,87,83,19,0,Fremantle,86,0,99,22,13,15,0
CD_I1009421,2025,2,CD_M20250140201,Finn Maginness,79,41,0,0,Hawthorn,0,0,41,23,12,0,0
CD_I1010174,2025,2,CD_M20250140204,Mitch Georgiades,88,103,0,0,Port Adelaide,0,0,111,34,14,0,0
CD_I1011437,2025,2,CD_M20250140206,Harry Edwards,87,30,0,0,West Coast Eagles,0,0,61,29,10,0,0
CD_I1011583,2025,2,CD_M20250140204,Lachie Jones,72,55,0,0,Port Adelaide,0,0,90,34,14,0,0
CD_I1011640,2025,2,CD_M20250140204,Jason Horne-Francis,83,62,14,0,Port Adelaide,41,0,61,34,14,-36,0
CD_I1011659,2025,2,CD_M20250140207,Tom Powell,73,98,15,0,North Melbourne,48,0,124,31,12,-7,0
CD_I1011755,2025,2,CD_M20250140203,Harrison Jones,83,49,0,0,Essendon,0,0,36,43,11,0,0
CD_I1011954,2025,2,CD_M20250140203,Nick Bryan,70,72,27,0,Essendon,63,0,77,43,11,-1,0
CD_I1011981,2025,2,CD_M20250140203,Josh Worrell,87,84,0,1,Adelaide Crows,0,10,69,43,10,0,-23
CD_I1011994,2025,2,CD_M20250140205,Ryan Byrnes,81,69,0,0,St Kilda,0,0,64,32,12,0,0
CD_I1012013,2025,2,CD_M20250140203,Nic Martin,97,72,0,0,Essendon,0,0,91,43,11,0,0
CD_I1012014,2025,2,CD_M20250140208,Chad Warner,88,129,15,0,Sydney Swans,68,0,122,22,11,14,0
