playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1022775,2025,2,Lucia,Painter,2,CD_T8787,WAA,Waalitj Marawar,Eagles,2,90.6,1,0.5,3,0,3,0,0,0,1,54.2,6.5,2,1,50,8.5,52.2,11.5,70,6,4.5,1,0,1,42.9,0.5,1.5,3,2,0,0,0,0,2.5,0,1.5,47.4,0,0,9.5,4.8,3.5,1,0,266.2,1,16.5,0,1.5,0,4,0,3.5,0.5,2,4,1,2,12,5,5.5
CD_I1022776,2025,2,Caitlin,Wendland,2,CD_T9409,YAR,Yartapuulti,Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1022818,2025,2,Sarah,Lakay,2,CD_T8787,WAA,Waalitj Marawar,Eagles,1,44,0,0,2,0,2,0,0,0,0,71.4,5,0,0,0,0,85.7,7,26,6,1,0,2,1,0,0,0,4,6,8,2,25,61.5,0,0,3,100,0,0,1,0.2,0,0,0,27.2,1,3,0,2,13,1,1,0,0,1,2,0,1,7,0,2
CD_I1022823,2025,2,Ella,Roberts,2,CD_T8787,WAA,Waalitj Marawar,Eagles,2,89.6,1.5,0,18,1,3,0,0,0,1.5,58.7,13.5,0.5,0.5,100,7.5,62.2,22.5,102,14,6.5,1.5,1.5,2,40,0.5,1,8,11,0,0,0,0,4,1.5,2,56.5,0,0,11.5,1,5.5,1.5,0.5,230.2,1.5,19,0,0,0,4.5,1.5,2.5,1,1.5,6,2,2.5,23,5,9.5
CD_I1022825,2025,2,Lauren,Wakfer,2,CD_T8787,WAA,Waalitj Marawar,Eagles,2,81.9,0,0,0,0,2.5,0,0,0,2,58.8,5,3.5,1,28.6,1.5,47.1,8.5,35.5,4,1,1,1,1,0,0,0,1.5,4.5,1,0,0,15.4,2,0,0.5,25,0,0,4,0.9,2.5,0.5,0,102,1,10,0,0,6.5,1,0,0.5,1,0,2,1.5,0,8.5,2,3.5
CD_I1022885,2025,2,Taylah,Gatt,2,CD_T8466,NMFC,Kangaroos,Kangaroos,2,76.5,0,0.5,0,0,4,0,0,0,0,51.7,7.5,0,0,0,6.5,58.6,14.5,64,8.5,4,0,1,1.5,0,0.5,0,5.5,6.5,0,0,0,0,2,0,3.5,50,0,0,8,1.2,1.5,0.5,0,173.4,0.5,14,0,2,0,3,0.5,0,0,1,6,1,1,14.5,2,7
CD_I1023389,2025,2,Chloe,Adams,2,CD_T9406,ESS,Essendon,Bombers,2,48,0,0,0,0,0.5,0,0,0,0.5,44.4,6,1,0,0,2,48.1,13.5,56.5,6.5,3,1.5,0,1.5,0,0,0,4,6.5,0,0,0,0,1,0,1,42.9,0,0,7,1.1,3,1,0.5,130,0.5,6,0,0,0,1.5,0,1,0.5,0.5,3,1,0.5,13.5,4.5,7.5
CD_I1023427,2025,2,Lilu,Hung,2,CD_T8796,EUR,Euro-Yroke,St Kilda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1023433,2025,2,Sara,Howley,2,CD_T7889,GWS,GWS GIANTS,GIANTS,2,76.7,0.5,0,0,0,0.5,0,0,0,0,48,6,0,0,0,6,69.2,13,47.5,9,3.5,0.5,0,1,0,0,0,5,7,0,0,0,0,0.5,0,4,58.3,0,0,6,0.9,2,0.5,0,107,0,8.5,0,0.5,0,1,0.5,1,0,1.5,2,0,1.5,12.5,1,6.5
CD_I1023815,2025,2,Abbygail,Bushby,2,CD_T8787,WAA,Waalitj Marawar,Eagles,2,60.3,0,1.5,8,1,2.5,0,0,0,0,32,4,0,0,0,3,57.7,13,54,7.5,4,0.5,1,1.5,100,0,0.5,2,4,0,0,0,0,3,0,1.5,44.4,0,0,9,2.3,2.5,0,0,226,0.5,6,0,0.5,0,0.5,0,0.5,0,0,2.5,0.5,1,12.5,3,8.5
