playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1014793,2025,1,Tahlia,Gillard,1,CD_T7386,MELB,Melbourne,Demons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1014810,2025,1,Georgie,Prespakis,1,CD_T8467,GEEL,Geelong Cats,Cats,1,87.7,0,0,14,3,2,0,0,0,2,66.7,16,0,0,0,10,56.5,23,102,13,6,2,0,1,0,0,0,9,9,0,0,0,0,6,1,3,42.9,0,0,14,1.6,3,0,0,356.8,4,19,0,0,0,0,0,1,3,5,8,3,8,24,5,8
CD_I1014835,2025,1,Tyanna,Smith,1,CD_T8796,STK,St Kilda,St Kilda,1,80.2,1,0,9,3,3,0,0,0,0,50,13,0,0,0,12,60,25,95,15,8,0,1,0,0,0,0,9,7,0,0,0,0,4,0,4,44.4,0,0,18,2.6,3,0,0,491.6,0,18,0,4,0,5,0,1,0,4,5,0,7,26,7,13
CD_I1014841,2025,1,Ashleigh,Richards,1,CD_T8796,STK,St Kilda,St Kilda,1,82.6,1,0,0,0,0,0,0,0,0,50,5,0,0,0,2,70,10,54,7,3,2,0,0,33.3,0,1,5,4,0,0,0,0,4,0,0,50,0,0,6,1.5,3,1,0,184.9,4,8,0,0,0,5,0,3,3,1,3,1,1,10,1,5
CD_I1014869,2025,1,Jenna,Richardson,1,CD_T9407,HAW,Hawthorn,Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1014873,2025,1,Tarni,Brown,1,CD_T8096,CARL,Carlton,Blues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1014882,2025,1,Laura,McClelland,1,CD_T8788,RICH,Richmond,Richmond,1,80.5,0,0,0,0,0,1,100,1,0,75,6,0,0,0,4,57.1,7,25,4,1,0,0,1,0,0,0,5,4,0,0,0,0,1,1,7,33.3,0,0,3,0.8,1,0,0,86,2,5,0,1,0,0,0,0,1,0,1,0,0,8,1,2
CD_I1014904,2025,1,Megan,Fitzsimon,1,CD_T7386,MELB,Melbourne,Demons,1,89.6,0,0,6,2,3,0,0,0,0,35.3,6,1,0,0,12,68.8,16,78,11,4,0,2,2,0,0,0,4,9,0,0,0,0,2,0,2,57.1,0,0,7,0.8,1,0,0,145.5,0,24,0,0,0,3,0,1,0,1,10,2,3,17,4,11
CD_I1014917,2025,1,Lily-Rose,Williamson,1,CD_T8097,COLL,Collingwood,Magpies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1014962,2025,1,Ella,Friend,1,CD_T8796,STK,St Kilda,St Kilda,1,87.9,0,0,0,0,1,1,33.3,3,0,57.1,8,0,0,0,7,93.3,15,66,14,4,0,0,1,0,0,0,7,10,0,0,0,0,2,0,8,80,0,0,5,0.5,2,0,0,116.9,3,11,0,3,0,0,0,0,3,1,6,0,1,14,3,6
