playerId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1021530,2025,1,Shanae Davison,FWD,Lions,0,0,10,1,9,1,100,11.1111111111111,0,57,0
CD_I1021793,2025,1,Paige Trudgeon,DEF,St Kilda,0,0,11,0,7,0,,0,1,54,1.85185185185185
CD_I1021819,2025,1,Sophie Butterworth,FWD,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1021822,2025,1,Mikayla Williamson,MID,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1021824,2025,1,Hayley McLaughlin,FWD,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1021827,2025,1,Indigo Linde,MID,GIANTS,0,0,20,0,7,0,,0,0,54,0
CD_I1021828,2025,1,Alyssia Pisano,FWD,Demons,0,0,14,0,7,0,,0,0,55,0
CD_I1021834,2025,1,Georgia Stubs,DEF,Kangaroos,0,0,15,0,3,0,,0,0,62,0
CD_I1021837,2025,1,Laura Stone,FWD,Hawks,4,40,10,0,11,0,,0,0,56,0
CD_I1021844,2025,1,Jess Vukic,RUC,Hawks,3,30,10,0,11,0,,0,17,56,30.3571428571429
CD_I1021845,2025,1,Jacinta Hose,RUC,Demons,0,0,14,0,7,0,,0,0,55,0
CD_I1021851,2025,1,Lulu Beatty,MID,Richmond,0,0,16,0,10,0,,0,0,62,0
CD_I1021853,2025,1,Rylie Wilcox,DEF,Bulldogs,0,0,14,0,8,0,,0,0,55,0
CD_I1021878,2025,1,Lou-Lou Field,DEF,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1021879,2025,1,Kristie-Lee Weston-Turner,FWD,Bulldogs,0,0,14,0,8,0,,0,0,55,0
CD_I1021884,2025,1,Sarah Grunden,FWD,Swans,0,0,16,0,8,0,,0,0,61,0
CD_I1021893,2025,1,Brooke Barwick,MID,Bulldogs,0,0,14,0,8,0,,0,0,55,0
CD_I1021894,2025,1,Madison Brazendale,MID,GIANTS,0,0,20,0,7,0,,0,0,54,0
CD_I1021895,2025,1,Georgia Clark,FWD,Magpies,0,0,13,0,8,0,,0,0,68,0
CD_I1021898,2025,1,Tunisha Kikoak,FWD,Freo,0,0,14,0,6,0,,0,2,61,3.27868852459016
CD_I1021923,2025,1,Sierra Grieves,MID,Richmond,0,0,16,0,10,0,,0,0,62,0
CD_I1021924,2025,1,Lila Keck,MID,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1021927,2025,1,Bryde O'Rourke,FWD,Cats,0,0,15,0,3,0,,0,0,61,0
CD_I1021929,2025,1,Keely Fullerton,DEF,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1021933,2025,1,Alexis Gregor,FWD,Cats,0,0,15,0,3,0,,0,0,61,0
CD_I1021945,2025,1,Rebecca Ott,DEF,St Kilda,8,72.7272727272727,11,0,7,0,,0,38,54,70.3703703703704
