playerId,name,seasonAvg,games,cba,ki,tog,ppm,season,kicks,handballs,marks,tackles,hitouts,freeFor,freeAgainst,goals,behinds,seasonHigh,seasonLow,firstHalf,secondHalf,lastFive,lastThree,stateAvg,priorSeason,priorSeasonGames,mmRank,dateOfBirth
1019734,Charlotte Simpson,55.7,10,47.3333333333333,0,65.8,1.05813069908815,2025,7.1,4.1,1.5,5.8,0,0.9,0.8,0,0,83,31,60.25,52.6666666666667,55.6,48.3333333333333,17,,,,2004-03-02
1021367,J'Noemi Anderson,38.3,9,23.3333333333333,0,70.5,0.679078014184397,2025,4.8,1.1,1.3,4,0,1.3,0.6,0.3,0.1,64,16,33.6666666666667,40.6666666666667,42.2,46.3333333333333,81,19.2,5,,2004-12-17
1021793,Paige Trudgeon,41.9,11,0,0,94.4,0.554819915254237,2025,5.6,2.9,2.3,3.4,0,1.1,0.9,0.1,0,64,13,42.4,41.5,37,33.3333333333333,0,41.5,2,,2000-08-10
1021945,Rebecca Ott,29.5,2,0,1.53846153846154,82.6,0.446428571428571,2025,4,3,2.5,1.5,0.5,0.5,1,0,0,44,15,,29.5,29.5,29.5,0,0,0,,1994-08-09
1022701,Alana Gee,0,0,0,0,0,,2025,0,0,0,0,0,0,0,0,0,,,,,,,0,37.6,7,,2004-04-20
1023427,Lilu Hung,,,,,,,2025,,,,,,,,,,,,,,,,,,,,2005-06-07
1025521,Kyla Forbes,,,,,,,2025,,,,,,,,,,,,,,,,66,,,,2006-09-07
1026218,Emmelie Fiedler,50.8,6,29.3333333333333,0,62.5,1.016,2025,2.2,2.3,1.2,3.8,20.3,1.3,0.3,0,0.2,77,24,52,49.6666666666667,50.4,49.6666666666667,11,0,0,,2002-04-05
1027544,Zoe Besanko,,,,,,,2025,,,,,,,,,,,,,,,,58,,,,2006-05-25
296158,Bianca Jakobsson,43.4,10,0.666666666666667,0,77.4,0.700904392764858,2025,5.5,3.9,2.7,3.2,0,0.9,0.9,0,0,74,3,51.4,35.4,35.4,35.3333333333333,0,37.3,10,,1993-03-30
998164,Nicola Stevens,41.3,11,0.666666666666667,12.3076923076923,80.4,0.642101990049751,2025,6.5,2.6,1.9,2.6,0,0.9,0.2,0,0,64,23,37.2,44.6666666666667,47.4,44.3333333333333,0,39.1,10,,1993-03-24
1005361,Daria Bannister,53.8,12,0.628930817610063,0,75.7,0.888375165125495,2025,6.7,3.3,2.7,3.3,0,2.1,0.5,0.8,0.7,89,27,53.8,56.6666666666667,47,57.3333333333333,0,51.5,6,,1999-04-20
1005374,Ellyse Gamble,33.4,10,3.14465408805031,3.07692307692308,79.4,0.525818639798489,2025,3.6,3,1.7,1.8,1.2,0.8,0.5,0.6,0.2,51,20,29.3333333333333,37.6666666666667,35.8,37.6666666666667,0,33.6,11,,1997-09-16
1006997,Stephanie Cain,65.7,12,69.1823899371069,0,78.3,1.04885057471264,2025,7,6.8,2.3,6.1,0,1.1,0.8,0.2,0,108,43,65,59.1666666666667,65,69.3333333333333,0,60.1,8,,1996-06-04
1009765,Sophie Van De Heuvel,53.8,5,0,1.53846153846154,85.5,0.786549707602339,2025,9.8,3.2,2,3.2,0,0.4,0.4,0,0,75,41,53.8,,53.8,62.3333333333333,0,55,10,,2000-12-10
1009857,Georgia Clarke,51.3,12,0,27.6923076923077,83.1,0.771660649819495,2025,8,5.5,4.3,1,0,0.5,0.3,0,0,95,20,32.2,67.1666666666667,64,54.6666666666667,0,34.6,11,,2000-06-23
1009885,Madison Prespakis,84.5,12,83.6477987421384,0,76.3,1.38433813892529,2025,14.7,8.8,2.7,3.1,0,2.3,0.6,0.3,0.6,116,28,92.6,87.1666666666667,76.4,61.3333333333333,0,96.5,11,,2000-11-02
1009976,Maddison Gay,80.3,12,1.25786163522013,67.6923076923077,88.9,1.12907761529809,2025,15.3,4.7,4.8,3.1,0,0.7,0.8,0,0.2,124,51,71.4,91.3333333333333,91.4,89.6666666666667,0,54,8,,1996-09-28
1010264,Alexandra Morcom,42.4,12,2.51572327044025,0,80.6,0.6575682382134,2025,6.3,3.8,2.4,2.5,0,0.5,1,0.2,0,65,15,34,45.6666666666667,52.2,56,0,28.8,8,,1996-08-22
1010279,Elizabeth Keaney,65.4,12,0,0,77.6,1.0534793814433,2025,10,4.7,3.3,4.9,0,0.2,1.3,0.1,0,93,33,59.2,66.3333333333333,77,86.3333333333333,0,57.2,11,,1991-12-22
1010690,Bonnie Toogood,38.7,6,0,0,64.4,0.751164596273292,2025,5.3,2.5,3,1.7,0,0.7,0.7,0.5,0.3,87,4,5,45.4,45.4,42.3333333333333,0,102.2,11,,1997-12-08
1012558,Brooke Walker,58.9,12,40.251572327044,0,69.1,1.06548480463097,2025,5.1,6.8,2,5.9,0,0.6,0.6,0.3,0.2,104,39,57.8,63.1666666666667,53,50.6666666666667,0,54.3,11,,1995-01-03
1012580,Sophie Alexander,49.2,12,7.54716981132076,0,81.4,0.755528255528256,2025,6.4,5,3.5,1.9,1.7,0.6,0.6,0.2,0.3,81,34,48.2,50.6666666666667,49,49.3333333333333,0,51.9,11,,1993-05-25
1013522,Georgia Nanscawen,89.4,12,82.3899371069182,0,82.1,1.36114494518879,2025,11.6,12,2,6.3,0,2.3,1.1,0.1,0.1,114,53,84,92.1666666666667,93.4,93,0,82.8,11,,1992-05-27
1015182,Mia Van Dyke,0,0,0,0,0,,2025,0,0,0,0,0,0,0,0,0,,,,,,,34.5,24.2,6,,2004-12-29
1019705,Mia Busch,36.6,7,0,0,71,0.644366197183099,2025,6,3.3,2,2,0,0.1,0.7,0,0,50,19,,37.5,37.6,42,75,36.6,11,,2004-05-18
1021409,Matilda Dyke,35.2,5,19.496855345912,0,70,0.628571428571429,2025,4.2,3.8,1.2,2.6,6.2,0.2,1.8,0,0,42,30,34,32,35.2,35.3333333333333,46,38.9,8,,2002-02-21
1021412,Maggie MacLachlan,,,,,,,2025,,,,,,,,,,,,,,,,,31.6,5,,2002-08-30
1021527,Brooke Brown,42.2,5,0,0,70.1,0.752496433666191,2025,6.4,5.4,4,0.2,0,0,0.2,0,0,51,32,,44,42.2,45,0,45,8,,1997-04-04
1022685,Brooke Sheridan,0,0,0,0,0,,2025,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,2004-09-08
1023389,Chloe Adams,43.5,4,0,0,63,0.863095238095238,2025,5,4,1.8,3,0,1,0.3,0.5,0,67,29,38,45.3333333333333,43.5,45.3333333333333,92.5,,,,2005-12-13
1025525,Amy Gaylor,54.3,12,3.77358490566038,0,78.2,0.867966751918159,2025,6.8,5.3,3.3,3.3,0,0.8,0.4,0.1,0.1,79,21,39.8,64.1666666666667,67.8,67.3333333333333,68,,,,2005-08-23
1025565,Grace Belloni,,,,,,,2025,,,,,,,,,,,,,,,,67,,,,2006-09-09
1025631,Amelie Gladman,,,,,,,2025,,,,,,,,,,,,,,,,61.3,,,,2006-06-16
1025674,Emily Gough,26.6,5,0.628930817610063,0,68.1,0.488252569750367,2025,2.8,3,1,1.4,1.8,1,0.6,0.4,0.2,42,5,30.5,23.5,26.6,24,24,,,,2005-12-01
1026008,Amelia Radford,60.9,12,11.3207547169811,0,69.9,1.08905579399142,2025,10.1,5.3,3.3,2.6,0,0.6,0.5,0.2,0,106,35,57.6,64.8333333333333,68.2,66,0,48.5,11,,1995-07-13
1026263,Taya Chambers,,,,,,,2025,,,,,,,,,,,,,,,,64,,,,2006-07-16
1026395,Jess Verbrugge,,,,,,,2025,,,,,,,,,,,,,,,,,,,,2004-02-04
1027783,Stephanie Wales,80.3,10,69.1823899371069,0,80.3,1.25,2025,7.9,5.5,2.4,3.5,23.4,1,0.6,0.3,0,115,64,83.6,77,77,75,0,70,11,,2003-05-30
1030375,Sophie Strong,,,,,,,2025,,,,,,,,,,,,,,,,58,,,,2006-10-17
1031378,Holly Ridewood,,,,,,,2025,,,,,,,,,,,,,,,,31.5,,,,2006-12-27
1033167,Courtney Murphy,6,1,0.591715976331361,0,34.3,0.21865889212828,2025,1,0,0,1,1,1,1,0,0,6,6,6,,6,6,53,0,0,,2000-07-11
1042256,Grace Brooker,,,,,,,2025,,,,,,,,,,,,,,,,18,,,,1999-06-20
997745,Georgia Gee,54.9,8,0,0,77.3,0.887774902975421,2025,6.4,7.1,2,3.5,0,0.3,0.1,0.3,0.1,91,30,55.6666666666667,60.5,54.4,57,0,50.6,8,,1999-10-28
1005866,Ainslie Kemp,41.5,13,0,23.8805970149254,74.9,0.692590120160214,2025,8.2,1.8,3.5,0.9,0,0.4,0.4,0,0,69,19,42,47.3333333333333,35.2,29.3333333333333,0,19.8,4,,1997-03-18
1007017,Tilly Lucas-Rodd,76.2,13,0,62.6865671641791,88.9,1.07142857142857,2025,14.2,6.1,3.7,2.8,0,0.3,0.4,0,0.1,108,48,86,76,71.8,54,0,84.1,10,,1996-04-18
1010658,Kristy Stratton,27.3,3,0,0,49,0.696428571428571,2025,2.3,3.3,1,2.3,0,0.3,0.3,0.3,0,37,9,36.5,9,27.3333333333333,27.3333333333333,0,61.6,10,,1995-01-26
1012575,Casey Sherriff,40.3,6,17.6767676767677,0,68.8,0.73219476744186,2025,6.5,1.7,1.2,3.2,0,0.2,0.7,0.5,0.2,67,21,59,37,35,27.3333333333333,0,39.3,10,,1998-04-22
1013015,Tamara Smith,57.5,13,0,0,80.2,0.896197007481297,2025,7.2,4.6,3.1,4.8,0,0.8,1,0.1,0,85,13,63.6,47.5,66.2,76.6666666666667,0,48.9,9,,2000-06-05
1014559,Najwa Allen,6,1,0,0,51.1,0.146771037181996,2025,1,2,0,1,0,0,2,0,1,6,6,,6,6,6,0,48.7,6,,1994-06-25
1014869,Jenna Richardson,58.2,13,0,0,90.4,0.804756637168142,2025,8,5.1,5.4,2.2,0,0.4,0.4,0,0,81,31,55.6,65.5,58.2,51.6666666666667,0,48.1,10,,2001-10-16
1018953,Aileen Gilroy,63.5,13,9.5959595959596,0,84.4,0.940462085308057,2025,12,1.3,1.4,3.5,0,0.8,0.4,1.1,0.8,96,25,68.4,61.3333333333333,61.2,61.6666666666667,0,55.2,10,,1993-03-01
