Season,roundNumber,matchId,playerId,name,TOG,AF,CBA,KI,teamName,CBA_PERC,KI_PERC,SC,TeamCBA,TeamKI
2025,4,CD_M20250140401,CD_I1009241,Brodie Kemp,87,37,0,0,Carlton,0,0,15,18,15
2025,4,CD_M20250140401,CD_I1032108,Cooper Lord,70,74,5,0,Carlton,28,0,74,18,15
2025,4,CD_M20250140401,CD_I297255,Mitch McGovern,81,69,0,4,Carlton,0,27,69,18,15
2025,4,CD_M20250140401,CD_I1020097,Ashton Moir,55,5,0,0,Carlton,0,0,1,18,15
2025,4,CD_M20250140401,CD_I1017700,Jesse Motlop,82,46,3,0,Carlton,17,0,37,18,15
2025,4,CD_M20250140401,CD_I295461,Adam Saad,75,83,0,5,Carlton,0,33,109,18,15
2025,4,CD_M20250140401,CD_I1001028,Jack Silvagni,95,74,0,0,Carlton,0,0,71,18,15
2025,4,CD_M20250140401,CD_I1006094,Sam Walsh,88,137,11,0,Carlton,61,0,108,18,15
2025,4,CD_M20250140401,CD_I993832,Jacob Weitering,100,67,0,0,Carlton,0,0,74,18,15
2025,4,CD_M20250140401,CD_I1027713,Will White,68,45,0,0,Carlton,0,0,29,18,15
2025,4,CD_M20250140401,CD_I294685,Zac Williams,81,83,1,2,Carlton,6,13,75,18,15
2025,4,CD_M20250140401,CD_I997316,Lewis Young,79,64,4,0,Carlton,22,0,67,18,15
2025,4,CD_M20250140402,CD_I994386,Tom Atkins,79,86,13,0,Geelong Cats,59,0,82,22,10
2025,4,CD_M20250140402,CD_I998260,Jack Bowes,64,82,10,0,Geelong Cats,45,0,87,22,10
2025,4,CD_M20250140402,CD_I293845,Jeremy Cameron,88,100,0,1,Geelong Cats,0,10,105,22,10
2025,4,CD_M20250140402,CD_I1023542,Ted Clohesy,71,40,0,0,Geelong Cats,0,0,47,22,10
2025,4,CD_M20250140402,CD_I999326,Brad Close,89,65,0,0,Geelong Cats,0,0,82,22,10
2025,4,CD_M20250140402,CD_I270917,Patrick Dangerfield,71,94,11,0,Geelong Cats,50,0,112,22,10
2025,4,CD_M20250140402,CD_I1009229,Sam De Koning,83,84,2,0,Geelong Cats,9,0,92,22,10
2025,4,CD_M20250140402,CD_I1025034,Oliver Dempsey,93,103,0,0,Geelong Cats,0,0,96,22,10
2025,4,CD_M20250140402,CD_I1004870,Zach Guthrie,88,149,0,0,Geelong Cats,0,0,114,22,10
2025,4,CD_M20250140402,CD_I1000937,Jack Henry,40,46,0,0,Geelong Cats,0,0,51,22,10
2025,4,CD_M20250140402,CD_I1012860,Oliver Henry,75,40,0,0,Geelong Cats,0,0,32,22,10
2025,4,CD_M20250140402,CD_I1015889,Max Holmes,82,68,18,0,Geelong Cats,82,0,72,22,10
2025,4,CD_M20250140402,CD_I1013464,Lawson Humphries,94,115,0,4,Geelong Cats,0,40,86,22,10
2025,4,CD_M20250140402,CD_I993878,Shaun Mannagh,76,88,0,0,Geelong Cats,0,0,83,22,10
2025,4,CD_M20250140402,CD_I1004938,Gryan Miers,85,101,0,0,Geelong Cats,0,0,95,22,10
2025,4,CD_M20250140402,CD_I1024982,Oisin Mullin,84,81,0,0,Geelong Cats,0,0,69,22,10
2025,4,CD_M20250140402,CD_I1016433,Shannon Neale,86,49,4,0,Geelong Cats,18,0,47,22,10
2025,4,CD_M20250140402,CD_I1007102,Mark O'Connor,40,68,0,0,Geelong Cats,0,0,65,22,10
2025,4,CD_M20250140402,CD_I1027877,Connor O'Sullivan,95,96,0,0,Geelong Cats,0,0,103,22,10
2025,4,CD_M20250140402,CD_I1006130,Bailey Smith,83,127,13,0,Geelong Cats,59,0,108,22,10
2025,4,CD_M20250140402,CD_I280317,Rhys Stanley,76,78,16,0,Geelong Cats,73,0,112,22,10
