player_id,Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
1009528,Tom Green,GWS,3.09,3.1,1,0
992468,Rowan Marshall,STK,15.34,2.7,5,0
1013464,Lawson Humphries,GEE,4.4,2.7,1,0
1027033,Ethan Read,GCS,5.18,2.6,2,0
1023530,Jacob Konstanty,NTH,5.19,2.5,4,0
1027687,Tom Hanily,SYD,8.41,2.5,2,0
291800,Tom Stewart,GEE,5.58,2.3,3,0
1009199,Noah Anderson,GCS,3.88,2.3,3,0
1009399,Luke Jackson,FRE,9.31,2.3,4,0
992016,Zach Merrett,ESS,9.85,2.2,5,0
1002253,Kane Farrell,PTA,2.73,2,1,0
1015886,Max Heath,STK,11.58,1.9,3,0
1024173,Aidan Johnson,MEL,1.24,1.9,2,0
1006232,Sam Wicks,SYD,3.3,1.8,1,0
1028561,Tom Gross,WCE,4.38,1.6,1,0
1032624,Hamish Davis,WCE,1.4,1.5,2,20
294036,George Hewett,CAR,2.71,1.4,2,0
296359,Christian Salem,MEL,3.58,1.4,0,0
996708,Bailey Dale,WBD,2.81,1.4,0,0
