player_id,oppo_avg
CD_I1015873,58
CD_I1009386,69
CD_I997078,97
CD_I1012817,
CD_I1001026,111
CD_I1023515,
CD_I291783,102
CD_I1023785,
CD_I994386,91
CD_I296733,65
CD_I998260,13
CD_I293845,120
CD_I1023537,45
CD_I999326,40
CD_I270917,74
CD_I1009229,31
CD_I1025034,55
CD_I1004870,58
CD_I1000937,67
CD_I1012860,33
CD_I1015889,71
CD_I1013464,71
CD_I1021103,0
CD_I1004938,53
CD_I1024982,28
CD_I1016433,63
CD_I1007102,76
CD_I1027877,
CD_I1006130,121
CD_I997230,89
CD_I291800,107
CD_I1020594,58
CD_I998180,67
CD_I1002232,146
CD_I1013224,71
CD_I1006152,98
CD_I997033,61
CD_I1020668,24
CD_I999321,50
CD_I1009399,104
CD_I1016825,92
CD_I1013220,65
CD_I294613,49
CD_I298409,37
CD_I1028513,
CD_I1023346,
CD_I998659,101
CD_I1009420,77
CD_I1009380,34
CD_I992059,77
CD_I1012819,109
CD_I993940,93
CD_I1009410,67
CD_I1021015,
CD_I1008224,
CD_I295222,38
CD_I298437,54
CD_I996059,67
CD_I1005053,15
CD_I1028560,
CD_I1023517,71
CD_I1002312,68
CD_I998133,98
CD_I993834,79
CD_I1023708,56
CD_I298211,48
CD_I993953,140
CD_I291548,48
CD_I1014026,62
CD_I1000978,89
CD_I1005521,84
CD_I997846,83
CD_I1028019,60
CD_I293535,128
CD_I1002347,39
CD_I1002235,77
CD_I1002401,36
CD_I1017067,97
CD_I261224,96
CD_I1000864,72
CD_I1015929,
CD_I996708,85
CD_I1017126,
CD_I1036123,
CD_I1034235,
CD_I290085,42
CD_I1004592,77
CD_I1027704,40
CD_I1017087,50
CD_I297899,19
CD_I1020586,18
CD_I1001398,23
CD_I290799,82
CD_I990740,37
CD_I1009015,51
CD_I1002404,74
CD_I1032966,44
CD_I1008280,103
CD_I1017939,54
CD_I1005000,33
CD_I1006127,40
CD_I992351,115
CD_I1020968,45
CD_I1015781,79
CD_I294508,60
CD_I1002947,59
CD_I295136,63
CD_I290838,121
CD_I1002267,108
CD_I1023144,
CD_I1023530,
CD_I1001017,66
CD_I997933,63
CD_I296355,68
CD_I1024272,123
CD_I1028495,
CD_I290778,75
CD_I1012829,64
CD_I1011659,84
CD_I1006058,81
CD_I1023518,134
CD_I993998,106
CD_I993816,80
CD_I1004965,118
CD_I998484,66
CD_I994295,126
CD_I998480,
CD_I294469,40
CD_I1009191,52
CD_I1028529,
CD_I250365,52
CD_I1013462,104
CD_I992128,57
CD_I991930,52
CD_I1000972,78
CD_I1019938,83
CD_I1002253,93
CD_I298111,35
CD_I1010174,57
CD_I1011640,75
CD_I1011583,44
CD_I1004095,89
CD_I1005326,41
CD_I993979,80
CD_I1008239,42
CD_I296225,79
CD_I1001299,105
CD_I1017078,44
CD_I992330,112
CD_I294318,92
CD_I297401,83
CD_I1001396,108
CD_I1024023,2
CD_I992242,104
CD_I1022607,
CD_I999331,45
CD_I1004863,75
CD_I1013974,54
CD_I993946,100
CD_I293222,104
CD_I1015370,74
CD_I990882,63
CD_I1008230,79
CD_I296420,67
CD_I297523,118
CD_I1006013,57
CD_I1017051,101
CD_I1001195,72
CD_I1006136,94
CD_I1017109,80
CD_I1008384,92
CD_I280506,52
CD_I1011981,73
CD_I1000958,
CD_I1011994,85
CD_I1023784,62
CD_I1002264,66
CD_I991939,39
CD_I1027790,53
CD_I1020855,
CD_I1027872,
CD_I1002227,58
CD_I295584,150
CD_I991988,94
CD_I295467,86
CD_I992468,138
CD_I1035198,
CD_I1024279,
CD_I994389,74
CD_I296205,122
CD_I1015507,90
CD_I290757,46
CD_I296422,58
CD_I1027875,70
CD_I1023270,82
CD_I295340,61
CD_I1012825,54
CD_I1005330,39
CD_I1001438,57
CD_I290528,101
CD_I1008183,
CD_I1017122,
CD_I1023486,
CD_I1024173,
CD_I298264,99
CD_I1028546,
CD_I298281,71
CD_I1028531,
CD_I291533,52
CD_I996701,99
CD_I298210,104
CD_I1008893,44
CD_I1009378,126
CD_I296359,56
CD_I1007099,16
CD_I999391,55
CD_I1017720,60
CD_I291902,64
CD_I1027821,64
CD_I1009528,72
CD_I1004385,32
CD_I1000223,59
CD_I1013511,
CD_I993820,52
CD_I290826,73
CD_I1023142,38
CD_I298268,102
CD_I1011437,44
CD_I993902,69
CD_I1023025,38
CD_I990827,56
CD_I1020670,60
CD_I1023167,59
CD_I994385,65
CD_I1036098,
CD_I295898,90
CD_I1023496,47
CD_I1029416,57
CD_I294859,76
CD_I1013973,
CD_I1027693,
CD_I1023492,99
CD_I996554,46
CD_I998130,47
CD_I1009199,103
CD_I1008882,30
CD_I1008454,83
CD_I1013257,66
CD_I295446,46
CD_I1026960,54
CD_I297456,41
CD_I1023500,14
CD_I1005992,67
CD_I1006144,33
CD_I993917,73
CD_I298272,52
CD_I1000072,46
CD_I1007881,60
