Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,19,CD_I1012014,Chad Warner,160,SYD,MID/FWD,874000,466400,108,105,107,CD_M20250141907,84,12,0,52,0,23,10,Sydney Swans,North Melbourne,home,SCG,W,30.2341,65.9,65,70,22.69,49.4,51,30,9816.75480328484,76,5004.09030503944,91,GWS Giants,89.0314587166368,93.2037536433556
2025,19,CD_I291800,Tom Stewart,70,GEE,DEF,849000,498400,76,71,50,CD_M20250141902,57,1,3,3,30,33,10,Geelong Cats,St Kilda,home,GMHBA Stadium,W,6.69202,9,8,0,6.31,3,1,0,9816.75480328484,105,5004.09030503944,96,North Melbourne,86.4847922773737,99.5985223324366
2025,19,CD_I291902,Jack Viney,90,MEL,MID,893000,447900,103,90,81,CD_M20250141904,82,10,0,38,0,26,6,Melbourne,Carlton,away,MCG,L,0.321422,0,0,0,0.31,0,0,0,9816.75480328484,90,5004.09030503944,80,St Kilda,90.9669252104767,89.5067779949807
2025,19,CD_I1006152,Jordan Clark,60,FRE,DEF,973000,540700,120,126,93,CD_M20250141905,94,0,4,0,33,27,12,Fremantle,Collingwood,away,MCG,W,14.5111,55.6,61,60,6.77,3.4,2,0,9816.75480328484,112,5004.09030503944,73,West Coast Eagles,99.1162578161185,108.051607193316
2025,19,CD_I994295,Dan Houston,40,COL,DEF,636000,379800,,,,,,,,,,,,,,,,,5.30858,0.4,1,0,3.22,0,0,0,9816.75480328484,84,5004.09030503944,61,Richmond,64.7871942148524,75.8979108785302
2025,19,CD_I298210,Christian Petracca,90,MEL,MID/FWD,876000,461400,103,89,70,CD_M20250141904,82,20,0,77,0,26,6,Melbourne,Carlton,away,MCG,L,35.384,87.5,91,90,31.5,83.1,85,80,9816.75480328484,100,5004.09030503944,104,St Kilda,89.2351920317778,92.2045710356867
2025,19,CD_I1001299,Connor Rozee,110,PTA,MID/DEF,1022000,561800,,,,,,,,,,,,,,,,,32.7845,70.9,72,80,34.39,78.9,78,80,9816.75480328484,136,5004.09030503944,153,Adelaide,104.107724037074,112.268157797678
2025,19,CD_I996708,Bailey Dale,140,WBD,DEF,894000,479700,116,109,128,CD_M20250141908,90,0,8,0,57,27,14,Western Bulldogs,Brisbane Lions,away,Gabba,L,20.332,35.1,29,40,8.55,14.5,5,20,9816.75480328484,93,5004.09030503944,86,Essendon,91.0687918680472,95.8615793797549
2025,19,CD_I1023517,Will Ashcroft,20,BRL,MID,922000,522700,100,118,112,CD_M20250141908,78,11,0,41,0,27,4,Brisbane Lions,Western Bulldogs,home,Gabba,W,18.1721,18.9,18,10,13.71,0.4,0,0,9816.75480328484,75,5004.09030503944,95,Gold Coast Suns,93.9210582800218,104.454549805708
2025,19,CD_I996701,Clayton Oliver,90,MEL,MID,820000,430100,105,101,89,CD_M20250141904,84,24,0,92,0,26,6,Melbourne,Carlton,away,MCG,L,14.3048,0.6,0,0,16.06,0.2,0,0,9816.75480328484,92,5004.09030503944,63,St Kilda,83.5306592078285,85.9496879116794
