Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at,Opposition,home_status
2025,6,CD_I298630,Kyle Langford,50,ESS,FWD,696000,422200,,,,,,,,,,,,,,,0.27366,0,0,0,0.37,0,0,0,9868.64902109433,94,5049.58785903834,114,,70.5263707841158,83.6107840453349,,
2025,6,CD_I1026960,Will Graham,1000,GCS,MID/FWD,587000,332500,99,66,62,CD_M20250140606,80,3,0,13,0,23,8,Gold Coast SUNS,Marvel Stadium,L,0.158605,0,0,0,0.24,0,0,0,9868.64902109433,65,5049.58785903834,90,Sydney Swans,59.4812926009712,65.8469580650731,Richmond,away
2025,6,CD_I1002404,Aaron Naughton,140,WBD,FWD,598000,333000,101,93,93,CD_M20250140608,81,0,0,0,0,25,8,Western Bulldogs,Marvel Stadium,W,0.555385,0,0,0,0.61,0,0,0,9868.64902109433,38,5049.58785903834,47,GWS GIANTS,60.5959335185363,65.9459760471258,St Kilda,home
2025,6,CD_I996765,Tom Papley,160,SYD,FWD,586000,393500,,,,,,,,,,,,,,,0.441405,0,0,0,2.1,0,0,0,9868.64902109433,83,5049.58785903834,130,,59.3799616084653,77.9271518755076,,
2025,6,CD_I291548,Ryan Lester,20,BRL,DEF,585000,333600,104,74,62,CD_M20250140601,84,0,0,0,0,26,9,Brisbane Lions,Gabba,L,0.394092,0,0,0,0.31,0,0,0,9868.64902109433,78,5049.58785903834,74,St Kilda,59.2786306159594,66.0647976255891,Collingwood,home
2025,6,CD_I291748,Brodie Smith,10,ADE,DEF,657000,343100,,,,,,,,,,,,,,,0.0731195,0,0,0,0.09,0,0,0,9868.64902109433,67,5049.58785903834,69,,66.5744620763852,67.9461392845912,,
2025,6,CD_I1020137,Mattaes Phillipou,130,STK,MID/FWD,656000,313800,,,,,,,,,,,,,,,0.76184,0,0,0,1.53,0,0,0,9868.64902109433,66,5049.58785903834,63,,66.4731310838792,62.1436855363006,,
2025,6,CD_I993816,Darcy Tucker,100,NTH,DEF/MID,624000,335400,116,45,50,CD_M20250140602,86,0,0,0,0,38,9,North Melbourne,Marvel Stadium,L,0.597321,0,0,0,0.32,0,0,0,9868.64902109433,62,5049.58785903834,99,Port Adelaide,63.23053932369,66.421262360979,Carlton,home
2025,6,CD_I1017126,Sam Darcy,140,WBD,FWD,834000,497000,25,16,8,CD_M20250140608,20,1,0,4,0,25,8,Western Bulldogs,Marvel Stadium,W,12.5088,0.7,0,0,4.33,0.1,0,0,9868.64902109433,127,5049.58785903834,192,GWS GIANTS,84.5100477499319,98.4238741604251,St Kilda,home
2025,6,CD_I1008541,Kysaiah Pickett,90,MEL,FWD,783000,427400,112,134,118,CD_M20250140604,88,23,0,68,0,34,13,Melbourne,MCG,W,0.344092,0.1,0,0,1.55,0.6,0,0,9868.64902109433,34,5049.58785903834,39,Richmond,79.3421671321303,84.6405710586834,Fremantle,home
2025,6,CD_I1023515,Archie Roberts,50,ESS,DEF/MID,783000,390400,106,65,60,CD_M20250140603,87,0,0,0,0,25,9,Essendon,Optus Stadium,W,2.05111,0.1,0,0,2.5,0.2,0,0,9868.64902109433,71,5049.58785903834,60,Collingwood,79.3421671321303,77.3132403867806,West Coast Eagles,away
2025,6,CD_I1006144,Ben King,1000,GCS,FWD,588000,325400,94,37,20,CD_M20250140606,76,0,0,0,0,23,8,Gold Coast SUNS,Marvel Stadium,L,1.44518,0,0,0,1.21,0,0,0,9868.64902109433,95,5049.58785903834,85,Sydney Swans,59.5826235934771,64.4409027199242,Richmond,away
2025,6,CD_I1017065,Zac Taylor,10,ADE,MID/FWD,424000,235300,83,42,39,CD_M20250140605,71,0,0,0,0,15,10,Adelaide Crows,Adelaide Oval,W,0.552697,0,0,0,0.38,0,0,0,9868.64902109433,45,5049.58785903834,48,Fremantle,42.9643408225073,46.5978623540202,GWS GIANTS,home
2025,6,CD_I997846,Conor McKenna,20,BRL,DEF,543000,301700,,,,,,,,,,,,,,,0.1871,0,0,0,0.13,0,0,0,9868.64902109433,93,5049.58785903834,105,,55.022728930711,59.7474503706242,,
2025,6,CD_I1002235,Cam Rayner,20,BRL,FWD,611000,368800,100,70,51,CD_M20250140601,81,3,0,12,0,26,9,Brisbane Lions,Gabba,L,0.976897,0,0,0,1.65,0,0,0,9868.64902109433,64,5049.58785903834,79,St Kilda,61.9132364211131,73.0356635621021,Collingwood,home
